x1	x2	x3	x4	t
1.000000	0.000000	0.000000	0.100000	0.000000
0.951519	0.049179	-0.195403	0.094995	0.500000
0.801546	0.092927	-0.409184	0.077318	1.000000
0.536324	0.122665	-0.657431	0.036074	1.500000
0.145037	0.121061	-0.885688	-0.050310	2.000000
-0.295325	0.070722	-0.816955	-0.142135	2.500000
-0.639497	-0.007870	-0.554351	-0.162738	3.000000
-0.855090	-0.086441	-0.315028	-0.148442	3.500000
-0.960201	-0.154283	-0.109476	-0.121421	4.000000
-0.966895	-0.206428	0.081854	-0.085636	4.500000
-0.877702	-0.238047	0.277026	-0.038455	5.000000
-0.686282	-0.241641	0.493568	0.028518	5.500000
-0.379163	-0.203422	0.735609	0.131761	6.000000
0.033733	-0.104087	0.871896	0.260924	6.500000
0.432183	0.039282	0.683022	0.292150	7.000000
0.707795	0.175085	0.424204	0.245381	7.500000
0.863843	0.282320	0.206518	0.182565	8.000000
0.918995	0.356878	0.017142	0.114821	8.500000
0.882463	0.395886	-0.163168	0.039442	9.000000
0.754567	0.393772	-0.351010	-0.051443	9.500000
0.527744	0.339513	-0.560308	-0.172119	10.000000
0.193348	0.214038	-0.766134	-0.334224	10.500000
-0.201257	0.013647	-0.758185	-0.441408	11.000000
-0.523127	-0.197198	-0.516849	-0.384295	11.500000
-0.722309	-0.364169	-0.287683	-0.282243	12.000000
-0.817709	-0.479493	-0.099150	-0.179331	12.500000
-0.824933	-0.543312	0.068215	-0.075201	13.000000
-0.750201	-0.553137	0.231205	0.038377	13.500000
-0.592121	-0.501240	0.403705	0.174385	14.000000
-0.343718	-0.371896	0.590579	0.350716	14.500000
-0.010135	-0.146146	0.714982	0.541681	15.000000
0.322213	0.136459	0.574791	0.550197	15.500000
0.551355	0.380268	0.345146	0.417257	16.000000
0.675139	0.553006	0.157119	0.275041	16.500000
0.713835	0.656532	0.001438	0.139733	17.000000
0.678928	0.692480	-0.139871	0.002862	17.500000
0.574126	0.657014	-0.280094	-0.148443	18.000000
0.397420	0.538692	-0.428257	-0.331894	18.500000
0.146369	0.317327	-0.568261	-0.557168	19.000000
-0.146184	-0.005501	-0.562525	-0.695746	19.500000
-0.381566	-0.330765	-0.367409	-0.576696	20.000000
-0.517750	-0.573656	-0.185025	-0.395262	20.500000
-0.573473	-0.728505	-0.043122	-0.226545	21.000000
-0.564574	-0.801607	0.076225	-0.066244	21.500000
-0.498741	-0.793887	0.186428	0.099254	22.000000
-0.378188	-0.698717	0.296183	0.286757	22.500000
-0.202383	-0.500090	0.405528	0.515400	23.000000
0.019847	-0.180133	0.463789	0.749760	23.500000
0.228987	0.205624	0.346894	0.740591	24.000000
0.359422	0.527320	0.179562	0.536694	24.500000
0.416094	0.743483	0.053566	0.331731	25.000000
0.417819	0.862337	-0.043172	0.145936	25.500000
0.375377	0.890275	-0.124908	-0.034630	26.000000
0.294042	0.825781	-0.199691	-0.226836	26.500000
0.176371	0.658202	-0.269877	-0.450384	27.000000
0.027195	0.368238	-0.319137	-0.711195	27.500000
-0.125818	-0.035069	-0.270549	-0.854528	28.000000
-0.227280	-0.427929	-0.133723	-0.682651	28.500000
-0.266205	-0.709271	-0.029076	-0.445271	29.000000
-0.262003	-0.877966	0.041755	-0.233769	29.500000
-0.227470	-0.945819	0.094131	-0.039019	30.000000
-0.169629	-0.916817	0.135778	0.156682	30.500000
-0.093105	-0.785836	0.168694	0.372279	31.000000
-0.003394	-0.538004	0.185910	0.625509	31.500000
0.084671	-0.160227	0.153596	0.864744	32.000000
0.136381	0.274009	0.048625	0.813788	32.500000
0.138668	0.619926	-0.031621	0.562607	33.000000
0.111337	0.840360	-0.073103	0.324941	33.500000
0.068852	0.949644	-0.094410	0.115519	34.000000
0.018911	0.957519	-0.103596	-0.083890	34.500000
-0.032946	0.864288	-0.101799	-0.292118	35.000000
-0.080224	0.660680	-0.083580	-0.528328	35.500000
-0.110830	0.330807	-0.030840	-0.788396	36.000000
-0.102120	-0.101530	0.068011	-0.886380	36.500000
-0.050256	-0.497237	0.128301	-0.667292	37.000000
0.017273	-0.765053	0.136442	-0.409292	37.500000
0.082837	-0.912916	0.123601	-0.187416	38.000000
0.139098	-0.955933	0.099837	0.013473	38.500000
0.180919	-0.899702	0.065387	0.212703	39.000000
0.201805	-0.740422	0.014570	0.428737	39.500000
0.190481	-0.465783	-0.066505	0.673437	40.000000
0.127826	-0.073063	-0.186608	0.867201	40.500000
0.013192	0.343478	-0.253904	0.746793	41.000000
