x1	x2	t
30.000000	3.000000	0.000000
32.202650	2.834497	0.100000
34.619426	2.696737	0.200000
37.263957	2.585216	0.300000
40.150164	2.498944	0.400000
43.291877	2.437483	0.500000
46.702311	2.401008	0.600000
50.393325	2.390400	0.700000
54.374418	2.407380	0.800000
58.651324	2.454698	0.900000
63.224093	2.536395	1.000000
68.084458	2.658167	1.100000
73.212251	2.827857	1.200000
78.570565	3.056109	1.300000
84.099315	3.357225	1.400000
89.706860	3.750237	1.500000
95.259541	4.260145	1.600000
100.569469	4.919150	1.700000
105.382094	5.767419	1.800000
109.367348	6.852421	1.900000
112.121753	8.225155	2.000000
113.193354	9.930848	2.100000
112.143433	11.991853	2.200000
108.652038	14.383073	2.300000
102.650557	17.006805	2.400000
94.427458	19.682287	2.500000
84.632470	22.166873	2.600000
74.140943	24.211314	2.700000
63.828664	25.626693	2.800000
54.370843	26.328701	2.900000
46.152099	26.340545	3.000000
39.290812	25.762916	3.100000
33.723487	24.733306	3.200000
29.293399	23.392471	3.300000
25.815294	21.864446	3.400000
23.112266	20.248474	3.500000
21.031916	18.618515	3.600000
19.450327	17.026455	3.700000
18.270159	15.506493	3.800000
17.416573	14.079433	3.900000
16.832848	12.756330	4.000000
16.476478	11.541384	4.100000
16.315973	10.434129	4.200000
16.328356	9.431053	4.300000
16.497250	8.526754	4.400000
16.811447	7.714769	4.500000
17.263829	6.988148	4.600000
17.850577	6.339843	4.700000
18.570577	5.762967	4.800000
19.424986	5.250965	4.900000
20.416905	4.797716	5.000000
21.551141	4.397586	5.100000
22.834019	4.045461	5.200000
24.273247	3.736750	5.300000
25.877797	3.467384	5.400000
27.657802	3.233803	5.500000
29.624456	3.032945	5.600000
31.789895	2.862239	5.700000
34.167055	2.719601	5.800000
36.769482	2.603436	5.900000
39.611068	2.512659	6.000000
42.705693	2.446729	6.100000
46.066731	2.405704	6.200000
49.706352	2.390330	6.300000
53.634571	2.402164	6.400000
57.857925	2.443752	6.500000
62.377660	2.518881	6.600000
67.187244	2.632914	6.700000
72.268973	2.793266	6.800000
77.589384	3.010016	6.900000
83.093130	3.296735	7.000000
88.694977	3.671514	7.100000
94.269707	4.158180	7.200000
99.640159	4.787557	7.300000
104.564639	5.598365	7.400000
108.726993	6.636915	7.500000
111.735992	7.954062	7.600000
113.145102	9.597092	7.700000
112.506656	11.594125	7.800000
109.469776	13.930623	7.900000
103.910935	16.523431	8.000000
96.050017	19.206287	8.100000
86.477649	21.744458	8.200000
76.043882	23.884818	8.300000
65.641552	25.423227	8.400000
55.992477	26.255059	8.500000
47.534673	26.385663	8.600000
40.429192	25.904748	8.700000
34.638363	24.946006	8.800000
30.016643	23.651485	8.900000
26.380451	22.149125	9.000000
23.549699	20.542839	9.100000
21.367018	18.910978	9.200000
19.703387	17.309096	9.300000
18.456941	15.774252	9.400000
17.549113	14.329375	9.500000
16.920222	12.987041	9.600000
16.525455	11.752508	9.700000
16.331539	10.626016	9.800000
16.314118	9.604505	9.900000
16.455744	8.682843	10.000000
16.744365	7.854713	10.100000
17.172191	7.113216	10.200000
17.734857	6.451301	10.300000
18.430796	5.862036	10.400000
19.260784	5.338799	10.500000
20.227590	4.875383	10.600000
21.335729	4.466065	10.700000
22.591264	4.105635	10.800000
24.001661	3.789409	10.900000
25.575673	3.513224	11.000000
27.323230	3.273428	11.100000
29.255344	3.066872	11.200000
31.383990	2.890896	11.300000
33.721973	2.743328	11.400000
36.282745	2.622483	11.500000
39.080158	2.527182	11.600000
42.128129	2.456784	11.700000
45.440165	2.411233	11.800000
49.028718	2.391142	11.900000
52.904274	2.397911	12.000000
57.074118	2.433892	12.100000
61.540611	2.502625	12.200000
66.298846	2.609160	12.300000
71.333433	2.760497	12.400000
76.614156	2.966184	12.500000
82.090149	3.239091	12.600000
87.682254	3.596406	12.700000
93.273304	4.060829	12.800000
98.696449	4.661836	12.900000
103.722511	5.436692	13.000000
108.049205	6.430462	13.100000
111.298153	7.693597	13.200000
113.029976	9.274935	13.300000
112.791267	11.207590	13.400000
110.204593	13.486699	13.500000
105.095495	16.043134	13.600000
97.616316	18.725590	13.700000
88.294861	21.308924	13.800000
77.948512	23.538427	13.900000
67.479909	25.196449	14.000000
57.653777	26.158367	14.100000
48.961902	26.410773	14.200000
41.610727	26.031029	14.300000
35.591453	25.147841	14.400000
30.772002	23.903825	14.500000
26.971803	22.430516	14.600000
24.008182	20.836459	14.700000
21.718968	19.204492	14.800000
19.969982	17.593982	14.900000
18.654708	16.044990	15.000000
17.690702	14.582695	15.100000
17.015191	13.221295	15.200000
16.580947	11.967175	15.300000
16.352830	10.821342	15.400000
16.305040	9.781224	15.500000
16.419007	8.841992	15.600000
16.681798	7.997488	15.700000
17.084926	7.240884	15.800000
17.623457	6.565131	15.900000
18.295360	5.963261	16.000000
19.101015	5.428585	16.100000
20.042854	4.954815	16.200000
21.125091	4.536139	16.300000
22.353523	4.167252	16.400000
23.735372	3.843375	16.500000
25.279166	3.560251	16.600000
26.994632	3.314138	16.700000
28.892593	3.101796	16.800000
30.984860	2.920479	16.900000
33.284101	2.767924	17.000000
35.803665	2.642361	17.100000
38.557356	2.542516	17.200000
41.559109	2.467647	17.300000
44.822547	2.417589	17.400000
48.360371	2.392826	17.500000
52.183502	2.394606	17.600000
56.299914	2.425094	17.700000
60.713009	2.487593	17.800000
65.419400	2.586854	17.900000
70.405872	2.729486	18.000000
75.645268	2.924525	18.100000
81.090954	3.184174	18.200000
86.669533	3.524760	18.300000
92.271509	3.967894	18.400000
97.739922	4.541740	18.500000
102.857749	5.282115	18.600000
107.336448	6.232759	18.700000
110.810948	7.443502	18.800000
112.850521	8.964281	18.900000
112.998956	10.832466	19.000000
110.856499	13.051986	19.100000
106.201994	15.567102	19.200000
99.121997	18.241708	19.300000
90.078657	20.861732	19.400000
79.849738	23.173145	19.500000
69.340110	24.946688	19.600000
59.352922	26.038330	19.700000
50.433465	26.415180	19.800000
42.836032	26.140905	19.900000
36.583793	25.337986	20.000000
31.560598	24.148791	20.100000
27.590374	22.708074	20.200000
24.488578	21.128935	20.300000
22.088457	19.498782	20.400000
20.250653	17.880934	20.500000
18.863873	16.318603	20.600000
17.841652	14.839342	20.700000
17.117989	13.459074	20.800000
16.643129	12.185396	20.900000
16.379973	11.020131	21.000000
16.301210	9.961246	21.100000
16.387098	9.004240	21.200000
16.623784	8.143138	21.300000
17.002051	7.371195	21.400000
17.516382	6.681376	21.500000
18.164260	6.066682	21.600000
18.945660	5.520360	21.700000
19.862667	5.036047	21.800000
20.919190	4.607838	21.900000
22.120751	4.230337	22.000000
23.474327	3.898670	22.100000
24.988219	3.608485	22.200000
26.671943	3.355949	22.300000
28.536132	3.137732	22.400000
30.592430	2.950999	22.500000
32.853359	2.793401	22.600000
35.332163	2.663076	22.700000
38.042583	2.558662	22.800000
40.998559	2.479317	22.900000
44.213810	2.424767	23.000000
47.701258	2.395372	23.100000
51.472223	2.392233	23.200000
55.535315	2.417333	23.300000
59.894904	2.473752	23.400000
64.549026	2.565952	23.500000
69.486510	2.700170	23.600000
74.683076	2.884954	23.700000
80.096088	3.131873	23.800000
85.657606	3.456429	23.900000
91.265431	3.879185	24.000000
96.772084	4.427033	24.100000
101.972307	5.134351	24.200000
106.591118	6.043502	24.300000
110.277070	7.203506	24.400000
112.609356	8.664992	24.500000
113.131628	10.468902	24.600000
111.425867	12.627073	24.700000
107.228609	15.096435	24.800000
100.563031	17.756120	24.900000
91.823679	20.404386	25.000000
81.742301	22.790084	25.100000
71.218214	24.674400	25.200000
61.087778	25.894753	25.300000
51.948812	26.398238	25.400000
44.105595	26.233537	25.500000
37.616376	25.515601	25.600000
32.383553	24.385652	25.700000
28.237216	22.981221	25.800000
24.991782	21.419842	25.900000
22.476207	19.793553	26.000000
20.545964	18.169761	26.100000
19.084869	16.594975	26.200000
18.002291	15.099256	26.300000
17.228862	13.700360	26.400000
16.712182	12.407175	26.500000
16.413102	11.222408	26.600000
16.302725	10.144605	26.700000
