x1	x2	t
30.000000	3.000000	0.000000
28.4693969151	2.4874568617	0.100000
27.1448095160	2.0536907191	0.200000
25.9851456102	1.6892746024	0.300000
24.9581474278	1.3849822344	0.400000
24.0384372820	1.1321984086	0.500000
23.2060036548	0.9231270814	0.600000
22.4450299483	0.7508687975	0.700000
21.7429872491	0.6094174120	0.800000
21.0899297694	0.4936099935	0.900000
20.4779459092	0.3990522668	1.000000
19.9007291099	0.3220339225	1.100000
19.3532412671	0.2594426396	1.200000
18.8314479762	0.2086819977	1.300000
18.3321097719	0.1675960598	1.400000
17.8526172010	0.1344018678	1.500000
17.3908603344	0.1076301433	1.600000
16.9451254257	0.0860739234	1.700000
16.5140130205	0.0687445508	1.800000
16.0963730500	0.0548342911	1.900000
15.6912533898	0.0436848025	2.000000
15.2978591032	0.0347606979	2.100000
14.9155201666	0.0276274877	2.200000
14.5436659269	0.0219332565	2.300000
14.1818049025	0.0173935003	2.400000
13.8295088216	0.0137786207	2.500000
13.4864000190	0.0109036423	2.600000
13.1521414908	0.0086197820	2.700000
12.8264290534	0.0068075547	2.800000
12.5089851626	0.0053711480	2.900000
12.1995540445	0.0042338437	3.000000
11.8978978586	0.0033342989	3.100000
11.6037936748	0.0026235311	3.200000
11.3170310892	0.0020624793	3.300000
11.0374103425	0.0016200339	3.400000
10.7647408314	0.0012714489	3.500000
10.4988399290	0.0009970638	3.600000
10.2395320471	0.0007812768	3.700000
9.9866478868	0.0006117209	3.800000
9.7400238372	0.0004786041	3.900000
9.4995014897	0.0003741814	4.000000
9.2649272420	0.0002923335	4.100000
9.0361519735	0.0002282303	4.200000
8.8130307748	0.0001780629	4.300000
8.5954227208	0.0001388311	4.400000
8.3831906782	0.0001081733	4.500000
8.1762011385	0.0000842326	4.600000
7.9743240727	0.0000655503	4.700000
7.7774328026	0.0000509810	4.800000
7.5854038847	0.0000396269	4.900000
7.3981170053	0.0000307839	5.000000
7.2154548838	0.0000239010	5.100000
7.0373031829	0.0000185471	5.200000
6.8635504247	0.0000143848	5.300000
6.6940879113	0.0000111509	5.400000
6.5288096499	0.0000086397	5.500000
6.3676122804	0.0000066907	5.600000
6.2103950069	0.0000051789	5.700000
6.0570595317	0.0000040069	5.800000
5.9075099908	0.0000030986	5.900000
5.7616528925	0.0000023952	6.000000
5.6193970575	0.0000018507	6.100000
5.4806535609	0.0000014294	6.200000
5.3453356755	0.0000011035	6.300000
5.2133588172	0.0000008516	6.400000
5.0846404916	0.0000006569	6.500000
4.9591002423	0.0000005065	6.600000
4.8366595999	0.0000003905	6.700000
4.7172420331	0.0000003009	6.800000
4.6007729005	0.0000002317	6.900000
4.4871794041	0.0000001784	7.000000
4.3763905433	0.0000001374	7.100000
4.2683370710	0.0000001057	7.200000
4.1629514497	0.0000000813	7.300000
4.0601678096	0.0000000625	7.400000
3.9599219074	0.0000000481	7.500000
3.8621510858	0.0000000369	7.600000
3.7667942348	0.0000000284	7.700000
3.6737917532	0.0000000218	7.800000
3.5830855112	0.0000000167	7.900000
3.4946188145	0.0000000129	8.000000
3.4083363685	0.0000000099	8.100000
3.3241842437	0.0000000076	8.200000
3.2421098423	0.0000000058	8.300000
3.1620618652	0.0000000045	8.400000
3.0839902797	0.0000000034	8.500000
3.0078462886	0.0000000026	8.600000
2.9335822993	0.0000000020	8.700000
2.8611518944	0.0000000015	8.800000
2.7905098026	0.0000000012	8.900000
2.7216118703	0.0000000009	9.000000
2.6544150340	0.0000000007	9.100000
2.5888772935	0.0000000005	9.200000
2.5249576856	0.0000000004	9.300000
2.4626162584	0.0000000003	9.400000
2.4018140465	0.0000000002	9.500000
2.3425130466	0.0000000002	9.600000
2.2846761936	0.0000000001	9.700000
2.2282673376	0.0000000001	9.800000
2.1732512212	0.0000000001	9.900000
2.1195934575	0.0000000001	10.000000
2.0672605088	0.0000000000	10.100000
2.0162196651	0.0000000000	10.200000
1.9664390244	0.0000000000	10.300000
1.9178874720	0.0000000000	10.400000
1.8705346618	0.0000000000	10.500000
1.8243509966	0.0000000000	10.600000
1.7793076101	0.0000000000	10.700000
1.7353763488	0.0000000000	10.800000
1.6925297543	0.0000000000	10.900000
1.6507410459	0.0000000000	11.000000
1.6099841044	0.0000000000	11.100000
1.5702334553	0.0000000000	11.200000
1.5314642533	0.0000000000	11.300000
1.4936522663	0.0000000000	11.400000
1.4567738606	0.0000000000	11.500000
1.4208059859	0.0000000000	11.600000
1.3857261612	0.0000000000	11.700000
1.3515124605	0.0000000000	11.800000
1.3181434991	0.0000000000	11.900000
1.2855984202	0.0000000000	12.000000
1.2538568823	0.0000000000	12.100000
1.2228990456	0.0000000000	12.200000
1.1927055607	0.0000000000	12.300000
1.1632575556	0.0000000000	12.400000
1.1345366243	0.0000000000	12.500000
1.1065248153	0.0000000000	12.600000
1.0792046204	0.0000000000	12.700000
1.0525589635	0.0000000000	12.800000
1.0265711901	0.0000000000	12.900000
1.0012250572	0.0000000000	13.000000
0.9765047226	0.0000000000	13.100000
0.9523947351	0.0000000000	13.200000
0.9288800254	0.0000000000	13.300000
0.9059458960	0.0000000000	13.400000
0.8835780122	0.0000000000	13.500000
0.8617623934	0.0000000000	13.600000
0.8404854042	0.0000000000	13.700000
0.8197337457	0.0000000000	13.800000
0.7994944474	0.0000000000	13.900000
0.7797548593	0.0000000000	14.000000
0.7605026432	0.0000000000	14.100000
0.7417257661	0.0000000000	14.200000
0.7234124918	0.0000000000	14.300000
0.7055513738	0.0000000000	14.400000
0.6881312484	0.0000000000	14.500000
0.6711412273	0.0000000000	14.600000
0.6545706915	0.0000000000	14.700000
0.6384092836	0.0000000000	14.800000
0.6226469022	0.0000000000	14.900000
0.6072736955	0.0000000000	15.000000
0.5922800546	0.0000000000	15.100000
0.5776566080	0.0000000000	15.200000
0.5633942156	0.0000000000	15.300000
0.5494839629	0.0000000000	15.400000
0.5359171555	0.0000000000	15.500000
0.5226853138	0.0000000000	15.600000
0.5097801675	0.0000000000	15.700000
0.4971936504	0.0000000000	15.800000
0.4849178954	0.0000000000	15.900000
0.4729452300	0.0000000000	16.000000
0.4612681707	0.0000000000	16.100000
0.4498794190	0.0000000000	16.200000
0.4387718566	0.0000000000	16.300000
0.4279385409	0.0000000000	16.400000
0.4173727007	0.0000000000	16.500000
0.4070677321	0.0000000000	16.600000
0.3970171940	0.0000000000	16.700000
0.3872148046	0.0000000000	16.800000
0.3776544370	0.0000000000	16.900000
0.3683301158	0.0000000000	17.000000
0.3592360128	0.0000000000	17.100000
0.3503664441	0.0000000000	17.200000
0.3417158658	0.0000000000	17.300000
0.3332788710	0.0000000000	17.400000
0.3250501864	0.0000000000	17.500000
0.3170246688	0.0000000000	17.600000
0.3091973018	0.0000000000	17.700000
0.3015631933	0.0000000000	17.800000
0.2941175715	0.0000000000	17.900000
0.2868557828	0.0000000000	18.000000
0.2797732883	0.0000000000	18.100000
0.2728656613	0.0000000000	18.200000
0.2661285841	0.0000000000	18.300000
0.2595578460	0.0000000000	18.400000
0.2531493399	0.0000000000	18.500000
0.2468990605	0.0000000000	18.600000
0.2408031010	0.0000000000	18.700000
0.2348576513	0.0000000000	18.800000
0.2290589952	0.0000000000	18.900000
0.2234035085	0.0000000000	19.000000
0.2178876562	0.0000000000	19.100000
0.2125079908	0.0000000000	19.200000
0.2072611499	0.0000000000	19.300000
0.2021438539	0.0000000000	19.400000
0.1971529043	0.0000000000	19.500000
0.1922851818	0.0000000000	19.600000
0.1875376438	0.0000000000	19.700000
0.1829073229	0.0000000000	19.800000
0.1783913250	0.0000000000	19.900000
0.1739868275	0.0000000000	20.000000
0.1696910774	0.0000000000	20.100000
0.1655013898	0.0000000000	20.200000
0.1614151460	0.0000000000	20.300000
0.1574297918	0.0000000000	20.400000
0.1535428364	0.0000000000	20.500000
0.1497518503	0.0000000000	20.600000
0.1460544639	0.0000000000	20.700000
0.1424483664	0.0000000000	20.800000
0.1389313037	0.0000000000	20.900000
0.1355010776	0.0000000000	21.000000
0.1321555441	0.0000000000	21.100000
0.1288926121	0.0000000000	21.200000
0.1257102422	0.0000000000	21.300000
0.1226064452	0.0000000000	21.400000
0.1195792813	0.0000000000	21.500000
0.1166268584	0.0000000000	21.600000
0.1137473310	0.0000000000	21.700000
0.1109388994	0.0000000000	21.800000
0.1081998082	0.0000000000	21.900000
0.1055283454	0.0000000000	22.000000
0.1029228413	0.0000000000	22.100000
0.1003816673	0.0000000000	22.200000
0.0979032351	0.0000000000	22.300000
0.0954859956	0.0000000000	22.400000
0.0931284380	0.0000000000	22.500000
0.0908290887	0.0000000000	22.600000
0.0885865105	0.0000000000	22.700000
0.0863993018	0.0000000000	22.800000
0.0842660954	0.0000000000	22.900000
0.0821855581	0.0000000000	23.000000
0.0801563895	0.0000000000	23.100000
0.0781773212	0.0000000000	23.200000
0.0762471162	0.0000000000	23.300000
0.0743645682	0.0000000000	23.400000
0.0725285005	0.0000000000	23.500000
0.0707377655	0.0000000000	23.600000
0.0689912438	0.0000000000	23.700000
0.0672878439	0.0000000000	23.800000
0.0656265012	0.0000000000	23.900000
0.0640061771	0.0000000000	24.000000
0.0624258589	0.0000000000	24.100000
0.0608845590	0.0000000000	24.200000
0.0593813139	0.0000000000	24.300000
0.0579151840	0.0000000000	24.400000
0.0564852530	0.0000000000	24.500000
0.0550906272	0.0000000000	24.600000
0.0537304348	0.0000000000	24.700000
0.0524038256	0.0000000000	24.800000
0.0511099705	0.0000000000	24.900000
0.0498480609	0.0000000000	25.000000
0.0486173079	0.0000000000	25.100000
0.0474169423	0.0000000000	25.200000
0.0462462138	0.0000000000	25.300000
0.0451043907	0.0000000000	25.400000
0.0439907593	0.0000000000	25.500000
0.0429046236	0.0000000000	25.600000
0.0418453047	0.0000000000	25.700000
0.0408121404	0.0000000000	25.800000
0.0398044851	0.0000000000	25.900000
0.0388217089	0.0000000000	26.000000
0.0378631975	0.0000000000	26.100000
0.0369283518	0.0000000000	26.200000
0.0360165875	0.0000000000	26.300000
0.0351273348	0.0000000000	26.400000
0.0342600378	0.0000000000	26.500000
0.0334141545	0.0000000000	26.600000
0.0325891561	0.0000000000	26.700000
0.0317845270	0.0000000000	26.800000
0.0309997642	0.0000000000	26.900000
0.0302343773	0.0000000000	27.000000
0.0294878879	0.0000000000	27.100000
0.0287598293	0.0000000000	27.200000
0.0280497466	0.0000000000	27.300000
0.0273571959	0.0000000000	27.400000
0.0266817443	0.0000000000	27.500000
0.0260229697	0.0000000000	27.600000
0.0253804603	0.0000000000	27.700000
0.0247538145	0.0000000000	27.800000
0.0241426407	0.0000000000	27.900000
0.0235465567	0.0000000000	28.000000
0.0229651902	0.0000000000	28.100000
0.0223981776	0.0000000000	28.200000
0.0218451646	0.0000000000	28.300000
0.0213058056	0.0000000000	28.400000
0.0207797634	0.0000000000	28.500000
0.0202667092	0.0000000000	28.600000
0.0197663224	0.0000000000	28.700000
0.0192782901	0.0000000000	28.800000
0.0188023075	0.0000000000	28.900000
0.0183380768	0.0000000000	29.000000
0.0178853081	0.0000000000	29.100000
0.0174437183	0.0000000000	29.200000
0.0170130313	0.0000000000	29.300000
0.0165929781	0.0000000000	29.400000
0.0161832960	0.0000000000	29.500000
0.0157837290	0.0000000000	29.600000
0.0153940274	0.0000000000	29.700000
0.0150139475	0.0000000000	29.800000
0.0146432518	0.0000000000	29.900000
0.0142817086	0.0000000000	30.000000
0.0139290920	0.0000000000	30.100000
0.0135851815	0.0000000000	30.200000
0.0132497621	0.0000000000	30.300000
0.0129226244	0.0000000000	30.400000
0.0126035636	0.0000000000	30.500000
0.0122923805	0.0000000000	30.600000
0.0119888806	0.0000000000	30.700000
0.0116928741	0.0000000000	30.800000
0.0114041760	0.0000000000	30.900000
0.0111226059	0.0000000000	31.000000
0.0108479877	0.0000000000	31.100000
0.0105801500	0.0000000000	31.200000
0.0103189251	0.0000000000	31.300000
0.0100641500	0.0000000000	31.400000
0.0098156652	0.0000000000	31.500000
0.0095733156	0.0000000000	31.600000
0.0093369496	0.0000000000	31.700000
0.0091064195	0.0000000000	31.800000
0.0088815812	0.0000000000	31.900000
0.0086622942	0.0000000000	32.000000
0.0084484214	0.0000000000	32.100000
0.0082398291	0.0000000000	32.200000
0.0080363870	0.0000000000	32.300000
0.0078379679	0.0000000000	32.400000
0.0076444478	0.0000000000	32.500000
0.0074557057	0.0000000000	32.600000
0.0072716237	0.0000000000	32.700000
0.0070920866	0.0000000000	32.800000
0.0069169824	0.0000000000	32.900000
0.0067462015	0.0000000000	33.000000
0.0065796372	0.0000000000	33.100000
0.0064171854	0.0000000000	33.200000
0.0062587445	0.0000000000	33.300000
0.0061042155	0.0000000000	33.400000
0.0059535019	0.0000000000	33.500000
0.0058065094	0.0000000000	33.600000
0.0056631462	0.0000000000	33.700000
0.0055233226	0.0000000000	33.800000
0.0053869513	0.0000000000	33.900000
0.0052539470	0.0000000000	34.000000
0.0051242266	0.0000000000	34.100000
0.0049977090	0.0000000000	34.200000
0.0048743151	0.0000000000	34.300000
0.0047539678	0.0000000000	34.400000
0.0046365920	0.0000000000	34.500000
0.0045221141	0.0000000000	34.600000
0.0044104627	0.0000000000	34.700000
0.0043015680	0.0000000000	34.800000
0.0041953619	0.0000000000	34.900000
0.0040917780	0.0000000000	35.000000
0.0039907517	0.0000000000	35.100000
0.0038922197	0.0000000000	35.200000
0.0037961204	0.0000000000	35.300000
