x1	x2	t
0.000000	1.000000	0.000000
0.0300000000	0.9991000000	0.030000
0.0599730000	0.9973008100	0.060000
0.0898920243	0.9946040493	0.090000
0.1197301458	0.9910121449	0.120000
0.1494605101	0.9865283296	0.150000
0.1790563600	0.9811566388	0.180000
0.2084910592	0.9749019070	0.210000
0.2377381164	0.9677697635	0.240000
0.2667712093	0.9597666272	0.270000
0.2955642081	0.9508997010	0.300000
0.3240911991	0.9411769650	0.330000
0.3523265081	0.9306071698	0.360000
0.3802447232	0.9191998281	0.390000
0.4078207180	0.9069652066	0.420000
0.4350296742	0.8939143163	0.450000
0.4618471037	0.8800589032	0.480000
0.4882488708	0.8654114371	0.510000
0.5142112139	0.8499851007	0.540000
0.5397107669	0.8337937777	0.570000
0.5647245803	0.8168520403	0.600000
0.5892301415	0.7991751360	0.630000
0.6132053956	0.7807789741	0.660000
0.6366287648	0.7616801112	0.690000
0.6594791681	0.7418957362	0.720000
0.6817360402	0.7214436549	0.750000
0.7033793499	0.7003422745	0.780000
0.7243896181	0.6786105859	0.810000
0.7447479357	0.6562681478	0.840000
0.7644359801	0.6333350684	0.870000
0.7834360322	0.6098319875	0.900000
0.8017309918	0.5857800577	0.930000
0.8193043935	0.5612009259	0.960000
0.8361404213	0.5361167133	0.990000
0.8522239227	0.5105499956	1.020000
0.8675404226	0.4845237829	1.050000
0.8820761360	0.4580614988	1.080000
0.8958179810	0.4311869594	1.110000
0.9087535898	0.4039243517	1.140000
0.9208713203	0.3762982121	1.170000
0.9321602667	0.3483334041	1.200000
0.9426102688	0.3200550960	1.230000
0.9522119217	0.2914887384	1.260000
0.9609565839	0.2626600409	1.290000
0.9688363851	0.2335949493	1.320000
0.9758442336	0.2043196223	1.350000
0.9819738222	0.1748604076	1.380000
0.9872196345	0.1452438186	1.410000
0.9915769490	0.1154965101	1.440000
0.9950418443	0.0856452548	1.470000
0.9976112020	0.0557169188	1.500000
0.9992827095	0.0257384375	1.530000
1.0000548627	-0.0042632084	1.560000
0.9999269664	-0.0342610174	1.590000
0.9988991359	-0.0642279915	1.620000
0.9969722961	-0.0941371604	1.650000
0.9941481813	-0.1239616058	1.680000
0.9904293332	-0.1536744858	1.710000
0.9858190986	-0.1832490588	1.740000
0.9803216268	-0.2126587076	1.770000
0.9739418656	-0.2418769635	1.800000
0.9666855567	-0.2708775302	1.830000
0.9585592308	-0.2996343072	1.860000
0.9495702016	-0.3281214132	1.890000
0.9397265592	-0.3563132100	1.920000
0.9290371629	-0.3841843249	1.950000
0.9175116331	-0.4117096739	1.980000
0.9051603429	-0.4388644841	2.010000
0.8919944084	-0.4656243164	2.040000
0.8780256789	-0.4919650868	2.070000
0.8632667263	-0.5178630885	2.100000
0.8477308336	-0.5432950136	2.130000
0.8314319832	-0.5682379731	2.160000
0.8143848440	-0.5926695184	2.190000
0.7966047585	-0.6165676611	2.220000
0.7781077286	-0.6399108930	2.250000
0.7589104019	-0.6626782050	2.280000
0.7390300557	-0.6848491067	2.310000
0.7184845825	-0.7064036442	2.340000
0.6972924732	-0.7273224184	2.370000
0.6754728006	-0.7475866024	2.400000
0.6530452026	-0.7671779585	2.430000
0.6300298638	-0.7860788544	2.460000
0.6064474982	-0.8042722793	2.490000
0.5823193298	-0.8217418592	2.520000
0.5576670740	-0.8384718715	2.550000
0.5325129179	-0.8544472590	2.580000
0.5068795001	-0.8696536440	2.610000
0.4807898908	-0.8840773407	2.640000
0.4542675706	-0.8977053678	2.670000
0.4273364095	-0.9105254601	2.700000
0.4000206457	-0.9225260795	2.730000
0.3723448633	-0.9336964254	2.760000
0.3443339706	-0.9440264445	2.790000
0.3160131772	-0.9535068398	2.820000
0.2874079720	-0.9621290790	2.850000
0.2585440997	-0.9698854020	2.880000
0.2294475376	-0.9767688281	2.910000
0.2001444728	-0.9827731623	2.940000
0.1706612779	-0.9878930006	2.970000
0.1410244879	-0.9921237353	3.000000
0.1112607758	-0.9954615585	3.030000
0.0813969291	-0.9979034664	3.060000
0.0514598251	-0.9994472612	3.090000
0.0214764072	-1.0000915534	3.120000
-0.0085263394	-0.9998357632	3.150000
-0.0385214123	-0.9986801208	3.180000
-0.0684818159	-0.9966256664	3.210000
-0.0983805859	-0.9936742488	3.240000
-0.1281908133	-0.9898285244	3.270000
-0.1578856691	-0.9850919543	3.300000
-0.1874384277	-0.9794688015	3.330000
-0.2168224917	-0.9729641267	3.360000
-0.2460114155	-0.9655837843	3.390000
-0.2749789291	-0.9573344164	3.420000
-0.3036989616	-0.9482234475	3.450000
-0.3321456650	-0.9382590776	3.480000
-0.3602934373	-0.9274502745	3.510000
-0.3881169455	-0.9158067661	3.540000
-0.4155911485	-0.9033390316	3.570000
-0.4426913195	-0.8900582921	3.600000
-0.4693930682	-0.8759765000	3.630000
-0.4956723632	-0.8611063291	3.660000
-0.5215055531	-0.8454611625	3.690000
-0.5468693880	-0.8290550809	3.720000
-0.5717410404	-0.8119028497	3.750000
-0.5960981259	-0.7940199059	3.780000
-0.6199187231	-0.7754223442	3.810000
-0.6431813934	-0.7561269024	3.840000
-0.6658652005	-0.7361509464	3.870000
-0.6879497289	-0.7155124545	3.900000
-0.7094151025	-0.6942300014	3.930000
-0.7302420026	-0.6723227414	3.960000
-0.7504116848	-0.6498103908	3.990000
-0.7699059965	-0.6267132109	4.020000
-0.7887073928	-0.6030519891	4.050000
-0.8067989525	-0.5788480206	4.080000
-0.8241643931	-0.5541230888	4.110000
-0.8407880858	-0.5288994462	4.140000
-0.8566550692	-0.5031997941	4.170000
-0.8717510630	-0.4770472622	4.200000
-0.8860624809	-0.4504653878	4.230000
-0.8995764425	-0.4234780945	4.260000
-0.9122807853	-0.3961096710	4.290000
-0.9241640755	-0.3683847487	4.320000
-0.9352156179	-0.3403282802	4.350000
-0.9454254663	-0.3119655162	4.380000
-0.9547844318	-0.2833219832	4.410000
-0.9632840913	-0.2544234605	4.440000
-0.9709167951	-0.2252959566	4.470000
-0.9776756738	-0.1959656864	4.500000
-0.9835546444	-0.1664590471	4.530000
-0.9885484158	-0.1368025946	4.560000
-0.9926524937	-0.1070230198	4.590000
-0.9958631843	-0.0771471243	4.620000
-0.9981775980	-0.0472017963	4.650000
-0.9995936519	-0.0172139868	4.680000
-1.0001100715	0.0127893154	4.710000
-0.9997263920	0.0427811071	4.740000
-0.9984429588	0.0727343959	4.770000
-0.9962609269	0.1026222237	4.800000
-0.9931822602	0.1324176915	4.830000
-0.9892097295	0.1620939834	4.860000
-0.9843469100	0.1916243907	4.890000
-0.9785981783	0.2209823361	4.920000
-0.9719687082	0.2501413973	4.950000
-0.9644644663	0.2790753313	4.980000
-0.9560922063	0.3077580975	5.010000
-0.9468594634	0.3361638814	5.040000
-0.9367745470	0.3642671178	5.070000
-0.9258465334	0.3920425138	5.100000
-0.9140852580	0.4194650715	5.130000
-0.9015013059	0.4465101107	5.160000
-0.8881060025	0.4731532908	5.190000
-0.8739114038	0.4993706329	5.220000
-0.8589302848	0.5251385414	5.250000
-0.8431761286	0.5504338253	5.280000
-0.8266631138	0.5752337187	5.310000
-0.8094061023	0.5995159018	5.340000
-0.7914206252	0.6232585205	5.370000
-0.7727228696	0.6464402066	5.400000
-0.7533296634	0.6690400965	5.430000
-0.7332584605	0.6910378503	5.460000
-0.7125273250	0.7124136701	5.490000
-0.6911549149	0.7331483175	5.520000
-0.6691604654	0.7532231315	5.550000
-0.6465637714	0.7726200446	5.580000
-0.6233851701	0.7913215997	5.610000
-0.5996455221	0.8093109654	5.640000
-0.5753661931	0.8265719512	5.670000
-0.5505690346	0.8430890222	5.700000
-0.5252763639	0.8588473132	5.730000
-0.4995109445	0.8738326415	5.760000
-0.4732959653	0.8880315205	5.790000
-0.4466550197	0.9014311710	5.820000
-0.4196120845	0.9140195336	5.850000
-0.3921914985	0.9257852785	5.880000
-0.3644179402	0.9367178167	5.910000
-0.3363164057	0.9468073089	5.940000
-0.3079121864	0.9560446745	5.970000
-0.2792308462	0.9644215999	6.000000
-0.2502981982	0.9719305458	6.030000
-0.2211402818	0.9785647543	6.060000
-0.1917833392	0.9843182545	6.090000
-0.1622537915	0.9891858682	6.120000
-0.1325782155	0.9931632147	6.150000
-0.1027833191	0.9962467142	6.180000
-0.0728959176	0.9984335918	6.210000
-0.0429429099	0.9997218791	6.240000
-0.0129512535	1.0001104167	6.270000
0.0170520590	0.9995988549	6.300000
0.0470400246	0.9981876542	6.330000
0.0769856543	0.9958780845	6.360000
0.1068619968	0.9926722246	6.390000
0.1366421635	0.9885729597	6.420000
0.1662993523	0.9835839792	6.450000
0.1958068717	0.9777097730	6.480000
0.2251381649	0.9709556281	6.510000
0.2542668337	0.9633276230	6.540000
0.2831666624	0.9548326232	6.570000
0.3118116411	0.9454782739	6.600000
0.3401759894	0.9352729943	6.630000
0.3682341792	0.9242259689	6.660000
0.3959609582	0.9123471401	6.690000
0.4233313724	0.8996471990	6.720000
0.4503207884	0.8861375753	6.750000
0.4769049157	0.8718304278	6.780000
0.5030598285	0.8567386330	6.810000
0.5287619875	0.8408757734	6.840000
0.5539882607	0.8242561255	6.870000
0.5787159445	0.8068946472	6.900000
0.6029227839	0.7888069637	6.930000
0.6265869928	0.7700093539	6.960000
0.6496872734	0.7505187357	6.990000
0.6722028355	0.7303526506	7.020000
0.6941134150	0.7095292482	7.050000
0.7153992924	0.6880672694	7.080000
0.7360413105	0.6659860301	7.110000
0.7560208914	0.6433054034	7.140000
0.7753200535	0.6200458017	7.170000
0.7939214276	0.5962281589	7.200000
0.8118082724	0.5718739107	7.230000
0.8289644897	0.5470049761	7.260000
0.8453746390	0.5216437369	7.290000
0.8610239511	0.4958130184	7.320000
0.8758983416	0.4695360681	7.350000
0.8899844237	0.4428365354	7.380000
0.9032695197	0.4157384498	7.410000
0.9157416732	0.3882661996	7.440000
0.9273896592	0.3604445098	7.470000
0.9382029945	0.3322984200	7.500000
0.9481719471	0.3038532616	7.530000
0.9572875449	0.2751346352	7.560000
0.9655415840	0.2461683877	7.590000
0.9729266356	0.2169805887	7.620000
0.9794360533	0.1875975071	7.650000
0.9850639785	0.1580455877	7.680000
0.9898053461	0.1283514273	7.710000
0.9936558890	0.0985417506	7.740000
0.9966121415	0.0686433864	7.770000
0.9986714431	0.0386832431	7.800000
0.9998319404	0.0086882849	7.830000
1.0000925889	-0.0213144928	7.860000
0.9994531541	-0.0512980874	7.890000
0.9979142115	-0.0812355137	7.920000
0.9954771461	-0.1110998281	7.950000
0.9921441512	-0.1408641527	7.980000
0.9879182267	-0.1705016995	8.010000
0.9828031757	-0.1999857947	8.040000
0.9768036018	-0.2292899028	8.070000
0.9699249048	-0.2583876499	8.100000
0.9621732753	-0.2872528482	8.130000
0.9535556898	-0.3158595189	8.160000
0.9440799042	-0.3441819160	8.190000
0.9337544468	-0.3721945494	8.220000
0.9225886103	-0.3998722077	8.250000
0.9105924441	-0.4271899810	8.280000
0.8977767446	-0.4541232834	8.310000
0.8841530461	-0.4806478748	8.340000
0.8697336099	-0.5067398831	8.370000
0.8545314134	-0.5323758255	8.400000
0.8385601386	-0.5575326296	8.430000
0.8218341597	-0.5821876544	8.460000
0.8043685301	-0.6063187103	8.490000
0.7861789688	-0.6299040794	8.520000
0.7672818464	-0.6529225348	8.550000
0.7476941704	-0.6753533599	8.580000
0.7274335696	-0.6971763670	8.610000
0.7065182786	-0.7183719153	8.640000
0.6849671211	-0.7389209290	8.670000
0.6627994932	-0.7588049138	8.700000
0.6400353458	-0.7780059741	8.730000
0.6166951666	-0.7965068291	8.760000
0.5927999617	-0.8142908280	8.790000
0.5683712369	-0.8313419651	8.820000
0.5434309779	-0.8476448944	8.850000
0.5180016311	-0.8631849434	8.880000
0.4921060828	-0.8779481258	8.910000
0.4657676390	-0.8919211550	8.940000
0.4390100044	-0.9050914551	8.970000
0.4118572607	-0.9174471730	9.000000
0.3843338455	-0.9289771883	9.030000
0.3564645299	-0.9396711242	9.060000
0.3282743962	-0.9495193561	9.090000
0.2997888155	-0.9585130206	9.120000
0.2710334249	-0.9666440233	9.150000
0.2420341042	-0.9739050464	9.180000
0.2128169528	-0.9802895550	9.210000
0.1834082661	-0.9857918030	9.240000
0.1538345120	-0.9904068384	9.270000
0.1241223069	-0.9941305076	9.300000
0.0942983916	-0.9969594593	9.330000
0.0643896079	-0.9988911476	9.360000
0.0344228734	-0.9999238338	9.390000
0.0044251584	-1.0000565885	9.420000
-0.0255765392	-0.9992892923	9.450000
-0.0555552180	-0.9976226358	9.480000
-0.0854838971	-0.9950581189	9.510000
-0.1153356406	-0.9915980497	9.540000
-0.1450835821	-0.9872455422	9.570000
-0.1747009484	-0.9820045138	9.600000
-0.2041610838	-0.9758796812	9.630000
-0.2334374743	-0.9688765570	9.660000
-0.2625037710	-0.9610014439	9.690000
-0.2913338143	-0.9522614295	9.720000
-0.3199016572	-0.9426643797	9.750000
-0.3481815886	-0.9322189321	9.780000
-0.3761481565	-0.9209344874	9.810000
-0.4037761911	-0.9088212017	9.840000
-0.4310408272	-0.8958899768	9.870000
-0.4579175265	-0.8821524510	9.900000
-0.4843821000	-0.8676209880	9.930000
-0.5104107297	-0.8523086662	9.960000
-0.5359799897	-0.8362292665	9.990000
-0.5610668676	-0.8193972604	10.020000
-0.5856487855	-0.8018277969	10.050000
-0.6097036194	-0.7835366883	10.080000
-0.6332097200	-0.7645403967	10.110000
-0.6561459319	-0.7448560187	10.140000
-0.6784916125	-0.7245012704	10.170000
-0.7002266506	-0.7034944708	10.200000
-0.7213314847	-0.6818545263	10.230000
-0.7417871205	-0.6596009127	10.260000
-0.7615751479	-0.6367536582	10.290000
-0.7806777576	-0.6133333255	10.320000
-0.7990777574	-0.5893609928	10.350000
-0.8167585872	-0.5648582352	10.380000
-0.8337043342	-0.5398471052	10.410000
-0.8498997474	-0.5143501127	10.440000
-0.8653302508	-0.4883902052	10.470000
-0.8799819569	-0.4619907465	10.500000
-0.8938416793	-0.4351754961	10.530000
-0.9068969442	-0.4079685878	10.560000
-0.9191360018	-0.3803945077	10.590000
-0.9305478371	-0.3524780726	10.620000
-0.9411221792	-0.3242444072	10.650000
-0.9508495115	-0.2957189219	10.680000
-0.9597210791	-0.2669272895	10.710000
-0.9677288978	-0.2378954226	10.740000
-0.9748657605	-0.2086494498	10.770000
-0.9811252440	-0.1792156925	10.800000
-0.9865017148	-0.1496206410	10.830000
-0.9909903340	-0.1198909310	10.860000
-0.9945870619	-0.0900533191	10.890000
-0.9972886615	-0.0601346593	10.920000
-0.9990927013	-0.0301618783	10.950000
-0.9999975576	-0.0001619515	10.980000
-1.0000024162	0.0298381210	11.010000
-0.9991072725	0.0598113391	11.040000
-0.9973129324	0.0897307271	11.070000
-0.9946210105	0.1195693574	11.100000
-0.9910339298	0.1493003753	11.130000
-0.9865549186	0.1788970229	11.160000
-0.9811880079	0.2083326631	11.190000
-0.9749380280	0.2375808039	11.220000
-0.9678106039	0.2666151221	11.250000
-0.9598121502	0.2954094866	11.280000
-0.9509498656	0.3239379825	11.310000
-0.9412317261	0.3521749343	11.340000
-0.9306664781	0.3800949287	11.370000
-0.9192636302	0.4076728376	11.400000
-0.9070334451	0.4348838409	11.430000
-0.8939869299	0.4617034488	11.460000
-0.8801358264	0.4881075236	11.490000
-0.8654926007	0.5140723016	11.520000
-0.8500704317	0.5395744146	11.550000
-0.8338831992	0.5645909106	11.580000
-0.8169454719	0.5890992747	11.610000
-0.7992724937	0.6130774495	11.640000
-0.7808801702	0.6365038546	11.670000
-0.7617850545	0.6593574063	11.700000
-0.7420043324	0.6816175362	11.730000
-0.7215558063	0.7032642104	11.760000
-0.7004578800	0.7242779468	11.790000
-0.6787295416	0.7446398331	11.820000
-0.6563903466	0.7643315435	11.850000
-0.6334604003	0.7833353555	11.880000
-0.6099603396	0.8016341657	11.910000
-0.5859113146	0.8192115051	11.940000
-0.5613349695	0.8360515542	11.970000
-0.5362534228	0.8521391569	12.000000
-0.5106892481	0.8674598343	12.030000
-0.4846654531	0.8819997979	12.060000
-0.4582054592	0.8957459617	12.090000
-0.4313330803	0.9086859541	12.120000
-0.4040725017	0.9208081291	12.150000
-0.3764482578	0.9321015769	12.180000
-0.3484852105	0.9425561332	12.210000
-0.3202085265	0.9521623890	12.240000
-0.2916436549	0.9609116986	12.270000
-0.2628163039	0.9687961878	12.300000
-0.2337524183	0.9758087603	12.330000
-0.2044781554	0.9819431050	12.360000
-0.1750198623	0.9871937008	12.390000
-0.1454040513	0.9915558224	12.420000
-0.1156573766	0.9950255437	12.450000
-0.0858066103	0.9975997420	12.480000
-0.0558786180	0.9992761005	12.510000
-0.0259003350	1.0000531106	12.540000
0.0041012583	0.9999300728	12.570000
0.0340991605	0.9989070980	12.600000
0.0640663734	0.9969851068	12.630000
0.0939759266	0.9941658290	12.660000
